,delta,theta,alpha,beta,gamma_low,gamma_high,time,trial,mood_change
0,0.23662378420508054,0.09305298057644465,0.07269641906815302,0.049719165349834886,0.029393835918266463,0.018513814882220415,0.0,3,positive
0,0.32412064167854054,0.06444741213148067,0.04428914274549994,0.029890889158050327,0.0236476829209084,0.01360423136552007,0.5,3,positive
0,0.1977119981880162,0.07586890348004413,0.07498895488676995,0.06671431354509087,0.052896448242747696,0.031819381657331156,0.0,10,positive
0,0.18414869151724644,0.09586233425022357,0.07128994104393144,0.06635507206689599,0.051239217770974475,0.031104743350728135,0.5,10,positive
0,0.15724151954692542,0.12495075110544385,0.11121177082442378,0.06577181919681983,0.028791469463678384,0.01203266986270879,0.0,2,neg_neutral
0,0.17172650454695584,0.11750635460812571,0.09794403280282417,0.06868961918177609,0.02955125627446969,0.014582232585848431,0.5,2,neg_neutral
0,0.11798364008247371,0.13615113827430414,0.10056715459740521,0.07039318989416908,0.04365449610321424,0.031250381048433605,0.0,6,neg_neutral
0,0.16833265012773055,0.09296334478932497,0.07435058238313144,0.07457745552731522,0.055153996661724956,0.03462197051077283,0.5,6,neg_neutral
0,0.20686836902995964,0.08289833947966072,0.0677799435407119,0.06627614281797661,0.04474147654908727,0.03143572858260391,0.0,8,neg_neutral
0,0.1733497089608441,0.10101587159416013,0.07522341965904084,0.06593193819136708,0.04977111294735081,0.03470794864723705,0.5,8,neg_neutral
